fare_type,applicable_time,distance,fare_per_ride,Min,Max
Senior citizen card fare,All other timings,34.3 km - 35.2 km,99,34.3,35.2
Senior citizen card fare,All other timings,35.3 km - 36.2 km,99,35.3,36.2
Senior citizen card fare,All other timings,36.3 km - 37.2 km,99,36.3,37.2
Senior citizen card fare,All other timings,37.3 km - 38.2 km,99,37.3,38.2
Senior citizen card fare,All other timings,38.3 km - 39.2 km,99,38.3,39.2
Senior citizen card fare,All other timings,39.3 km - 40.2 km,99,39.3,40.2
Senior citizen card fare,All other timings,Over 40.2 km,99,40.2,999.0
Student card fare,Before 7.45am  (Weekdays excluding public holidays),Up to 3.2 km,0,0.0,3.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),3.3 km - 4.2 km,3,3.3,4.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),4.3 km - 5.2 km,9,4.3,5.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),5.3 km - 6.2 km,14,5.3,6.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),6.3 km - 7.2 km,17,6.3,7.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),7.3 km - 8.2 km,20,7.3,8.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),8.3 km - 9.2 km,20,8.3,9.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),9.3 km - 10.2 km,20,9.3,10.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),10.3 km - 11.2 km,20,10.3,11.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),11.3 km - 12.2 km,20,11.3,12.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),12.3 km - 13.2 km,20,12.3,13.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),13.3 km - 14.2 km,20,13.3,14.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),14.3 km - 15.2 km,20,14.3,15.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),15.3 km - 16.2 km,20,15.3,16.2
Student card fare,Before 7.45am  (Weekdays excluding public holidays),16.3 km - 17.2 km,20,16.3,17.2
